id,From,To,Domain,Source
1,AS59193,AS15169,google.com,1
2,AS59193,AS15169,fitbit.com,1
3,AS15169,AS396982,fitbit.com,1
4,AS59193,AS55824,ed.ac.uk,1
5,AS55824,AS20965,ed.ac.uk,1
6,AS20965,AS786,ed.ac.uk,1
7,AS59193,AS55836,harvard.edu,1
8,AS55836,AS54113,harvard.edu,1
9,AS59193,AS55836,delugerpg.com,1
10,AS55836,AS13335,delugerpg.com,1
11,AS59193,AS55836,friv.com,1
12,AS55836,AS4637,friv.com,1
13,AS4637,AS6453,friv.com,1
14,AS6453,AS30633,friv.com,1
15,AS59193,AS55836,miniclip.com,1
16,AS55836,AS16509,miniclip.com,1
17,AS59193,AS55836,notdoppler.com,1
18,AS55836,AS13335,notdoppler.com,1
19,AS59193,AS16509,guinnessworldrecords.com,1
20,AS59193,AS55824,fearp.usp.br,1
21,AS55824,AS11537,fearp.usp.br,1
22,AS11537,AS1916,fearp.usp.br,1
23,AS1916,AS28571,fearp.usp.br,1
24,AS59193,AS32934,facebook.com,1
25,AS59193,AS32934,instagram.com,1
26,AS49981,AS15169,google.com,2
27,AS49981,AS15169,fitbit.com,2
28,AS15169,AS396982,fitbit.com,2
29,AS49981,AS201011,ed.ac.uk,2
30,AS201011,AS34984,ed.ac.uk,2
31,AS34984,AS786,ed.ac.uk,2
32,AS49981,AS6762,harvard.edu,2
33,AS6762,AS54113,harvard.edu,2
34,AS49981,AS13335,delugerpg.com,2
35,AS49981,AS174,friv.com,2
36,AS174,AS30633,friv.com,2
37,AS49981,AS3267,miniclip.com,2
38,AS3267,AS16509,miniclip.com,2
39,AS49981,AS13335,notdoppler.com,2
40,AS49981,AS3267,guinnessworldrecords.com,2
41,AS3267,AS16509,guinnessworldrecords.com,2
42,AS49981,AS174,fearp.usp.br,2
43,AS174,AS1916,fearp.usp.br,2
44,AS1916,AS28571,fearp.usp.br,2
45,AS49981,AS32934,facebook.com,2
46,AS49981,AS32934,instagram.com,2
47,AS212238,AS60068,google.com,3
48,AS60068,AS1299,google.com,3
49,AS1299,AS15169,google.com,3
50,AS212238,AS60068,fitbit.com,3
51,AS60068,AS1299,fitbit.com,3
52,AS1299,AS15169,fitbit.com,3
53,AS15169,AS396982,fitbit.com,3
54,AS212238,AS60068,ed.ac.uk,3
55,AS60068,AS1299,ed.ac.uk,3
56,AS1299,AS786,ed.ac.uk,3
57,AS212238,AS60068,harvard.edu,3
58,AS60068,AS174,harvard.edu,3
59,AS174,AS54113,harvard.edu,3
60,AS212238,AS60068,delugerpg.com,3
61,AS60068,AS13335,delugerpg.com,3
62,AS212238,AS60068,friv.com,3
63,AS60068,AS174,friv.com,3
64,AS174,AS30633,friv.com,3
65,AS212238,AS60068,miniclip.com,3
66,AS60068,AS7922,miniclip.com,3
67,AS7922,AS16509,miniclip.com,3
68,AS212238,AS60068,notdoppler.com,3
69,AS60068,AS13335,notdoppler.com,3
70,AS212238,AS60068,guinnessworldrecords.com,3
71,AS60068,AS7922,guinnessworldrecords.com,3
72,AS7922,AS16509,guinnessworldrecords.com,3
73,AS212238,AS60068,fearp.usp.br,3
74,AS60068,AS174,fearp.usp.br,3
75,AS174,AS1916,fearp.usp.br,3
76,AS1916,AS28571,fearp.usp.br,3
77,AS212238,AS60068,facebook.com,3
78,AS60068,AS32934,facebook.com,3
79,AS212238,AS60068,instagram.com,3
80,AS60068,AS32934,instagram.com,3
81,AS24560,AS9498,google.com,4
82,AS9498,AS15169,google.com,4
83,AS24560,AS9498, harvard.edu,4
84,AS9498,AS54113, harvard.edu,4
85,AS24560,AS9498,ed.ac.uk ,4
86,AS9498,AS6461,ed.ac.uk ,4
87,AS6461,AS34984,ed.ac.uk ,4
88,AS34984,AS786,ed.ac.uk ,4
89,AS24560,AS9498,fearp.usp.br ,4
90,AS9498,AS7713,fearp.usp.br ,4
91,AS7713,AS1916,fearp.usp.br ,4
92,AS1916,AS28571,fearp.usp.br ,4
93,AS24560,AS9498,fitbit.com,4
94,AS9498,AS15169,fitbit.com,4
95,AS15169,AS396982,fitbit.com,4
96,AS24560,AS9498,facebook.com ,4
97,AS9498,AS32934,facebook.com ,4
98,AS24560,AS9498,instagram.com,4
99,AS9498,AS32934,instagram.com,4
100,AS24560,AS9498,guinnessworldrecords.com,4
101,AS9498,AS16509,guinnessworldrecords.com,4
102,AS24560,AS9498,delugerpg.com ,4
103,AS9498,AS13335,delugerpg.com ,4
104,AS24560,AS9498, friv.com ,4
105,AS9498,AS1299, friv.com ,4
106,AS1299,AS30633, friv.com ,4
107,AS24560,AS9498,miniclip.com ,4
108,AS9498,AS16509,miniclip.com ,4
109,AS24560,AS9498,notdoppler.com ,4
110,AS9498,AS13335,notdoppler.com ,4
111,AS15169,AS396982, fitbit.com,5
112,AS64049,AS2914, fearp.usp.br,5
113,AS2914,AS28571, fearp.usp.br,5
114,AS64049,AS1299, ed.ac.uk,5
115,AS1299,AS786, ed.ac.uk,5
116,AS55836,AS13335, delugerpg.com,5
117,AS64049,AS4637, friv.com,5
118,AS4637,AS6453, friv.com,5
119,AS6453,AS30633, friv.com,5
120,AS55836,AS13335, notdoppler.com,5